"group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"LNUA",0.190585096245474,0,36.5165658016207,0.0607958172477734,36.1774311170297,0,29.3832148385235,0,29.8989029898903,61.9012911286964,0,0,0,0,0.521842850752945,0,0,20.6829962394552,0,7.298712216745,23.4226447709594,51.2775791401413,42.1863307557994,8.79116060858508,0.0993764130083725,0,0,38.7656360632523,87.5498534428908,0,54.7375920208976
"CFRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73893613954159,0,12.1408216575635
"BAES",37.706528272566,104.433998221319,66.0324135808801,41.8123233121561,83.6424743967786,67.0165027831588,57.5596190676076,56.4247874830602,49.2220549222055,35.2457309454394,60.7512753130314,34.771727589868,41.7033501691303,61.2948661906844,51.1219621291188,50.0272215836913,55.3575384119696,69.8749872954568,47.8219362138463,52.3711261416179,88.2454624027658,117.554722246446,39.1930656023946,30.1223308633314,68.0479988074831,60.9303780498704,91.1560119244783,74.6400755251357,44.9762145019461,93.2711525649567,3.38399430064118
"EMRA",33.4256938030523,84.4026595519417,53.5439532259719,34.7904064200383,68.7085830241923,55.8103038179544,42.6843665556051,47.0822553488563,41.0482541048254,28.7380258225739,50.5929377470574,28.9195611507154,35.2161623650433,51.0709602214775,42.5674668257045,61.3393019176093,46.1346382327473,57.729444049192,40.2729651368361,43.7349535710191,75.7130509939499,95.1425830644458,32.8947368421053,25.112903933003,56.7439318277807,50.9428903387255,75.8860549850944,60.803634647156,35.0776031906203,89.7179658005774,3.20588933744954
"MDTE",32.3115040096172,86.8165840850379,53.8773207508462,33.6960817095784,67.9476204064809,53.7259998528727,50.7909856494478,45.1316167713852,39.7576539757654,43.054977092878,49.5550206479253,28.1106223772688,33.9341704894738,51.8966438389431,41.0578500074549,70.5341479644305,44.221591252341,56.1286716129688,38.5404143978502,42.3401734877145,91.4433880726016,94.5757390773524,39.2554252930905,24.4113649318192,54.4085861220839,49.0660470104567,73.6667770785028,61.3641727637479,46.0333477487867,100.377526093715,4.15578247447162
"CRP",17.3872249343947,41.5872612543938,24.0793927582316,17.965163996717,31.2628808776435,28.3710551482308,16.5280583466695,24.249517473615,21.4024521402452,10.932944606414,26.6104277543449,15.1423226654533,17.9015492022304,26.2275972606732,21.8614879976144,27.94749258968,23.7016452204032,30.2368126842159,19.8182589632982,22.4693339447438,31.8928262748487,46.045173105433,12.9084559740584,13.1428947253036,28.0738366748652,25.9629993743856,39.6820139118914,27.3188576823224,14.5596078996684,26.2047523872974,1.27641890287343
"MDTP",0.51311372066089,0,0,0.531963400918017,0,0,0,1.17038314648269,0.555675055567506,0,3.99708499878542,2.74280802871733,0.509707613178259,0,11.6669151632623,0,2.01373366358565,1.16881796930582,0.5480517643731,2.96151935496198,0,0,0,1.76480904985312,0.993764130083725,0,1.78867174561113,0.708048147274015,0,0,0
"MDTO",4.2954948615326,0,0,5.03085387725325,0,0,0,6.07777914664696,5.19825051982505,0,11.6379215158006,6.21871682087062,0,3.52129778036816,18.6931564037573,0,6.22243702047967,7.44486228275231,0,7.64263059345027,4.23509075194468,0,0,5.30538869645284,5.44085861220839,0,11.1295130838026,4.2777908897805,0,0,0
"MDTN",27.7521220917447,71.9942404607631,44.337880808288,29.4859713651701,56.4697675893338,47.0807483877296,41.4250859196684,40.1010225452753,34.7924284792429,23.0633069554352,43.2833513680631,24.8622276151474,30.0418578070216,42.4741366749235,36.0817056806322,52.5074103200048,39.3886304597354,49.7001727817868,32.9538222190793,36.5890939661431,66.8971477960242,79.0093311240952,27.9683212771265,21.5613627395098,46.8062905269434,43.2791134149611,64.0278237827095,48.855322161907,27.533515929076,82.8336664445925,2.40441700308715
"pmrA",0.410490976528712,0,0,0.151989543119433,0,0.171648561830264,0,0.554392016754959,0.197175019717502,0,1.36916723715302,0.442388391728601,0,0,4.43566423140003,0,0.704806782254979,0,0.141432713386606,1.06996828308304,0,0,0,0.77826982943833,0.273285135773024,0,0.62934746604836,0.295020061364173,0,0,0
